Property1,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,,,,,,
0.93344717,19.70," 6,894 ",37.5,17.68290679,14.01699381,12.36034669,8.466487626,20,5.28,344.855632,0,11.84,0.28,3.72,13.28,3.28,46.96,25.28,0.742052174,3.94406E-05,,,,,,
0.923266995,17.67," 6,225 ",41.3,17.76775961,14.06598361,12.42034669,8.475769658,20,5.4,346.77556,0,12.2,0.4,3.6,13.4,3.4,47.8,25.4,0.743304348,3.87894E-05,,,,,,
0.95120102,20.97," 7,412 ",35.0,17.85261242,14.1149734,12.48034669,8.485051691,20,5.52,348.695488,0,12.56,0.52,3.48,13.52,3.52,48.64,25.52,0.744556522,3.81382E-05,,,,,,
0.42711018,16.89," 6,099 ",32.0,18.13545513,14.27827272,12.68034669,8.515991798,20,5.92,355.095248,0,13.76,0.92,3.08,13.92,3.92,51.44,25.92,0.748730435,3.59675E-05,,,,,,
1.333847769,18.24," 6,455 ",35.6,17.83847029,14.10680844,12.47034669,8.483504685,20,5.5,348.3755,0,12.5,0.5,3.5,13.5,3.5,48.5,25.5,0.744347826,3.82467E-05,,,,,,
1.703773641,18.24," 6,455 ",35.6,17.83847029,14.10680844,12.47034669,8.483504685,20,5.5,348.3755,0,12.5,0.5,3.5,13.5,3.5,48.5,25.5,0.744347826,3.82467E-05,,,,,,
0.211814682,18.24," 6,455 ",35.6,17.83847029,14.10680844,12.47034669,8.483504685,20,5.5,348.3755,0,12.5,0.5,3.5,13.5,3.5,48.5,25.5,0.744347826,3.82467E-05,,,,,,
0.258674277,18.24," 6,455 ",35.6,17.83847029,14.10680844,12.47034669,8.483504685,20,5.5,348.3755,0,12.5,0.5,3.5,13.5,3.5,48.5,25.5,0.744347826,3.82467E-05,,,,,,
-0.392179944,18.24," 6,455 ",35.6,17.83847029,14.10680844,12.47034669,8.483504685,20,5.5,348.3755,0,12.5,0.5,3.5,13.5,3.5,48.5,25.5,0.744347826,3.82467E-05,,,,,,
-0.641396429,18.24," 6,455 ",35.6,17.83847029,14.10680844,12.47034669,8.483504685,20,5.5,348.3755,0,12.5,0.5,3.5,13.5,3.5,48.5,25.5,0.744347826,3.82467E-05,,,,,,
-0.899164939,18.24," 6,455 ",35.6,17.83847029,14.10680844,12.47034669,8.483504685,20,5.5,348.3755,0,12.5,0.5,3.5,13.5,3.5,48.5,25.5,0.744347826,3.82467E-05,,,,,,
